function,ahref
avfilter_graph_free,<a href="https://ffmpeg.org/doxygen/4.1/group__lavfi.html#ga871684449dac05050df238a18d0d493b">avfilter_graph_free</a>
av_fifo_generic_read,<a href="https://ffmpeg.org/doxygen/4.1/libavutil_2fifo_8c.html#ab708d2f19b7a9592caa278256787adb6">av_fifo_generic_read</a>
av_frame_free,<a href="https://ffmpeg.org/doxygen/4.1/group__lavu__frame.html#ga979d73f3228814aee56aeca0636e37cc">av_frame_free</a>
av_fifo_freep,<a href="https://ffmpeg.org/doxygen/4.1/libavutil_2fifo_8c.html#a612be59edb6ab388a82d1487d1bd0c4d">av_fifo_freep</a>
avsubtitle_free,<a href="https://ffmpeg.org/doxygen/4.1/group__lavc__core.html#gaa2c3e02a761d9fc0c5c9b2340408c332">avsubtitle_free</a>
av_buffer_unref,<a href="https://ffmpeg.org/doxygen/4.1/group__lavu__buffer.html#ga135e9e929b5033bb8f68322497b2effc">av_buffer_unref</a>
av_freep,<a href="https://ffmpeg.org/doxygen/4.1/tableprint__vlc_8h.html#adba82e1bcd02de510a858fcbedf79ef1">av_freep</a>
avfilter_inout_free,<a href="https://ffmpeg.org/doxygen/4.1/group__lavfi.html#ga294500a9856260eb1552354fd9d9a6c4">avfilter_inout_free</a>
avio_closep,<a href="https://ffmpeg.org/doxygen/4.1/avio_8h.html#ae118a1f37f1e48617609ead9910aac15">avio_closep</a>
avformat_free_context,<a href="https://ffmpeg.org/doxygen/4.1/group__lavf__core.html#gac2990b13b68e831a408fce8e1d0d6445">avformat_free_context</a>
av_dict_free,<a href="https://ffmpeg.org/doxygen/4.1/group__lavu__dict.html#ga1bafd682b1fbb90e48a4cc3814b820f7">av_dict_free</a>
av_freep,<a href="https://ffmpeg.org/doxygen/4.1/tableprint__vlc_8h.html#adba82e1bcd02de510a858fcbedf79ef1">av_freep</a>
av_bsf_free,<a href="https://ffmpeg.org/doxygen/4.1/group__lavc__misc.html#ga08d53431e76355f88e27763b1940df4f">av_bsf_free</a>
av_frame_free,<a href="https://ffmpeg.org/doxygen/4.1/group__lavu__frame.html#ga979d73f3228814aee56aeca0636e37cc">av_frame_free</a>
av_frame_free,<a href="https://ffmpeg.org/doxygen/4.1/group__lavu__frame.html#ga979d73f3228814aee56aeca0636e37cc">av_frame_free</a>
av_dict_free,<a href="https://ffmpeg.org/doxygen/4.1/group__lavu__dict.html#ga1bafd682b1fbb90e48a4cc3814b820f7">av_dict_free</a>
av_freep,<a href="https://ffmpeg.org/doxygen/4.1/tableprint__vlc_8h.html#adba82e1bcd02de510a858fcbedf79ef1">av_freep</a>
av_expr_free,<a href="https://ffmpeg.org/doxygen/4.1/eval_8c.html#a01c05d7049a9208c2b22147a3f16c58c">av_expr_free</a>
av_freep,<a href="https://ffmpeg.org/doxygen/4.1/tableprint__vlc_8h.html#adba82e1bcd02de510a858fcbedf79ef1">av_freep</a>
avcodec_free_context,<a href="https://ffmpeg.org/doxygen/4.1/group__lavc__core.html#gaf869d0829ed607cec3a4a02a1c7026b3">avcodec_free_context</a>
avcodec_parameters_free,<a href="https://ffmpeg.org/doxygen/4.1/group__lavc__core.html#ga950c8da55b8112077e640b6a0cb8cf36">avcodec_parameters_free</a>
av_fifo_generic_read,<a href="https://ffmpeg.org/doxygen/4.1/libavutil_2fifo_8c.html#ab708d2f19b7a9592caa278256787adb6">av_fifo_generic_read</a>
av_packet_unref,<a href="https://ffmpeg.org/doxygen/4.1/group__lavc__packet.html#ga63d5a489b419bd5d45cfd09091cbcbc2">av_packet_unref</a>
av_fifo_freep,<a href="https://ffmpeg.org/doxygen/4.1/libavutil_2fifo_8c.html#a612be59edb6ab388a82d1487d1bd0c4d">av_fifo_freep</a>
avformat_close_input,<a href="https://ffmpeg.org/doxygen/4.1/group__lavf__decoding.html#gae804b99aec044690162b8b9b110236a4">avformat_close_input</a>
av_freep,<a href="https://ffmpeg.org/doxygen/4.1/tableprint__vlc_8h.html#adba82e1bcd02de510a858fcbedf79ef1">av_freep</a>
av_frame_free,<a href="https://ffmpeg.org/doxygen/4.1/group__lavu__frame.html#ga979d73f3228814aee56aeca0636e37cc">av_frame_free</a>
av_frame_free,<a href="https://ffmpeg.org/doxygen/4.1/group__lavu__frame.html#ga979d73f3228814aee56aeca0636e37cc">av_frame_free</a>
av_dict_free,<a href="https://ffmpeg.org/doxygen/4.1/group__lavu__dict.html#ga1bafd682b1fbb90e48a4cc3814b820f7">av_dict_free</a>
av_frame_free,<a href="https://ffmpeg.org/doxygen/4.1/group__lavu__frame.html#ga979d73f3228814aee56aeca0636e37cc">av_frame_free</a>
av_freep,<a href="https://ffmpeg.org/doxygen/4.1/tableprint__vlc_8h.html#adba82e1bcd02de510a858fcbedf79ef1">av_freep</a>
av_freep,<a href="https://ffmpeg.org/doxygen/4.1/tableprint__vlc_8h.html#adba82e1bcd02de510a858fcbedf79ef1">av_freep</a>
av_freep,<a href="https://ffmpeg.org/doxygen/4.1/tableprint__vlc_8h.html#adba82e1bcd02de510a858fcbedf79ef1">av_freep</a>
avcodec_free_context,<a href="https://ffmpeg.org/doxygen/4.1/group__lavc__core.html#gaf869d0829ed607cec3a4a02a1c7026b3">avcodec_free_context</a>
av_freep,<a href="https://ffmpeg.org/doxygen/4.1/tableprint__vlc_8h.html#adba82e1bcd02de510a858fcbedf79ef1">av_freep</a>
avformat_network_deinit,<a href="https://ffmpeg.org/doxygen/4.1/group__lavf__core.html#ga245f2875f80ce67ec3d1e0f54dacf2c4">avformat_network_deinit</a>
av_log_set_flags,<a href="https://ffmpeg.org/doxygen/4.1/group__lavu__log.html#gaf8143cc9a7cd364af1ff525c6181c0ce">av_log_set_flags</a>
avdevice_register_all,<a href="https://ffmpeg.org/doxygen/4.1/group__lavd.html#ga7c90a3585267b55941ae2f7388c006b6">avdevice_register_all</a>
avformat_network_init,<a href="https://ffmpeg.org/doxygen/4.1/group__lavf__core.html#ga84542023693d61e8564c5d457979c932">avformat_network_init</a>
av_dict_set,<a href="https://ffmpeg.org/doxygen/4.1/group__lavu__dict.html#ga8d9c2de72b310cef8e6a28c9cd3acbbe">av_dict_set</a>
av_find_input_format,<a href="https://ffmpeg.org/doxygen/4.1/group__lavf__decoding.html#ga7d2f532c6653c2419b17956712fdf3da">av_find_input_format</a>
avformat_alloc_context,<a href="https://ffmpeg.org/doxygen/4.1/group__lavf__core.html#gac7a91abf2f59648d995894711f070f62">avformat_alloc_context</a>
av_dict_set_int,<a href="https://ffmpeg.org/doxygen/4.1/group__lavu__dict.html#gafd013a88620b2da7d497b083f6ea7d29">av_dict_set_int</a>
avcodec_find_encoder_by_name,<a href="https://ffmpeg.org/doxygen/4.1/group__lavc__encoding.html#gaa614ffc38511c104bdff4a3afa086d37">avcodec_find_encoder_by_name</a>
avformat_open_input,<a href="https://ffmpeg.org/doxygen/4.1/group__lavf__decoding.html#ga31d601155e9035d5b0e7efedc894ee49">avformat_open_input</a>
avformat_find_stream_info,<a href="https://ffmpeg.org/doxygen/4.1/group__lavf__decoding.html#gad42172e27cddafb81096939783b157bb">avformat_find_stream_info</a>
avformat_seek_file,<a href="https://ffmpeg.org/doxygen/4.1/group__lavf__decoding.html#ga3b40fc8d2fda6992ae6ea2567d71ba30">avformat_seek_file</a>
avcodec_alloc_context3,<a href="https://ffmpeg.org/doxygen/4.1/group__lavc__core.html#gae80afec6f26df6607eaacf39b561c315">avcodec_alloc_context3</a>
avcodec_parameters_to_context,<a href="https://ffmpeg.org/doxygen/4.1/group__lavc__core.html#gac7b282f51540ca7a99416a3ba6ee0d16">avcodec_parameters_to_context</a>
avcodec_find_decoder,<a href="https://ffmpeg.org/doxygen/4.1/group__lavc__decoding.html#ga19a0ca553277f019dd5b0fec6e1f9dca">avcodec_find_decoder</a>
av_get_pix_fmt,<a href="https://ffmpeg.org/doxygen/4.1/pixdesc_8c.html#a925ef18d69c24c3be8c53d5a7dc0660e">av_get_pix_fmt</a>
av_hwdevice_find_type_by_name,<a href="https://ffmpeg.org/doxygen/4.1/hwcontext_8c.html#a541943ddced791765349645a30adfa4d">av_hwdevice_find_type_by_name</a>
av_get_default_channel_layout,<a href="https://ffmpeg.org/doxygen/4.1/group__channel__mask__c.html#gacb84f3e93a583e1f84a5283162a606a2">av_get_default_channel_layout</a>
av_get_channel_layout_string,<a href="https://ffmpeg.org/doxygen/4.1/group__channel__mask__c.html#ga99d0b5bb80534d13a6cc96336cf9076a">av_get_channel_layout_string</a>
avcodec_find_decoder,<a href="https://ffmpeg.org/doxygen/4.1/group__lavc__decoding.html#ga19a0ca553277f019dd5b0fec6e1f9dca">avcodec_find_decoder</a>
avcodec_parameters_from_context,<a href="https://ffmpeg.org/doxygen/4.1/group__lavc__core.html#ga0c7058f764778615e7978a1821ab3cfe">avcodec_parameters_from_context</a>
av_dump_format,<a href="https://ffmpeg.org/doxygen/4.1/group__lavf__misc.html#gae2645941f2dc779c307eb6314fd39f10">av_dump_format</a>
avfilter_graph_alloc,<a href="https://ffmpeg.org/doxygen/4.1/group__lavfi.html#ga6c778454b86f845805ffd814b4ce51d4">avfilter_graph_alloc</a>
avfilter_graph_parse2,<a href="https://ffmpeg.org/doxygen/4.1/group__lavfi.html#ga6c3c39e0861653c71a23f90d1397239d">avfilter_graph_parse2</a>
avfilter_inout_free,<a href="https://ffmpeg.org/doxygen/4.1/group__lavfi.html#ga294500a9856260eb1552354fd9d9a6c4">avfilter_inout_free</a>
avfilter_graph_free,<a href="https://ffmpeg.org/doxygen/4.1/group__lavfi.html#ga871684449dac05050df238a18d0d493b">avfilter_graph_free</a>
avfilter_pad_get_type,<a href="https://ffmpeg.org/doxygen/4.1/group__lavfi.html#ga2d241a0066fc3724ec3335e25bc3912e">avfilter_pad_get_type</a>
avformat_match_stream_specifier,<a href="https://ffmpeg.org/doxygen/4.1/group__lavf__misc.html#ga7e45597834e9ef3098ddb74bc5e1550c">avformat_match_stream_specifier</a>
av_fifo_alloc,<a href="https://ffmpeg.org/doxygen/4.1/libavutil_2fifo_8c.html#adae9b18c5eed14fe851c5bb984ce374b">av_fifo_alloc</a>
av_mallocz,<a href="https://ffmpeg.org/doxygen/4.1/group__lavu__mem__funcs.html#ga0a8cc057ae9723ce3b9203cb5365971a">av_mallocz</a>
avfilter_pad_get_type,<a href="https://ffmpeg.org/doxygen/4.1/group__lavfi.html#ga2d241a0066fc3724ec3335e25bc3912e">avfilter_pad_get_type</a>
avio_open_dyn_buf,<a href="https://ffmpeg.org/doxygen/4.1/avio_8h.html#adb5259ad07633518173eaa47fe6575e2">avio_open_dyn_buf</a>
avio_printf,<a href="https://ffmpeg.org/doxygen/4.1/avio_8h.html#a79127cec97b09a308b549253119ff38f">avio_printf</a>
avio_w8,<a href="https://ffmpeg.org/doxygen/4.1/avio_8h.html#a1dddee2b73f4dd6512ac9821cf5adc18">avio_w8</a>
avio_close_dyn_buf,<a href="https://ffmpeg.org/doxygen/4.1/avio_8h.html#a8faed62ce72e7411cbea2356494af8ce">avio_close_dyn_buf</a>
avformat_alloc_output_context2,<a href="https://ffmpeg.org/doxygen/4.1/avformat_8h.html#a6ddf3d982feb45fa5081420ee911f5d5">avformat_alloc_output_context2</a>
av_dict_get,<a href="https://ffmpeg.org/doxygen/4.1/group__lavu__dict.html#gae67f143237b2cb2936c9b147aa6dfde3">av_dict_get</a>
av_opt_find,<a href="https://ffmpeg.org/doxygen/4.1/group__avoptions.html#gae31ae7fb20113b00108d0ecf53f25664">av_opt_find</a>
av_opt_eval_flags,<a href="https://ffmpeg.org/doxygen/4.1/group__opt__eval__funcs.html#gae245940b870e13b759354d570decf3dc">av_opt_eval_flags</a>
avformat_new_stream,<a href="https://ffmpeg.org/doxygen/4.1/group__lavf__core.html#gadcb0fd3e507d9b58fe78f61f8ad39827">avformat_new_stream</a>
av_mallocz,<a href="https://ffmpeg.org/doxygen/4.1/group__lavu__mem__funcs.html#ga0a8cc057ae9723ce3b9203cb5365971a">av_mallocz</a>
av_guess_codec,<a href="https://ffmpeg.org/doxygen/4.1/group__lavf__encoding.html#gae8a1efab53a348857f209ea51037da4c">av_guess_codec</a>
avcodec_find_encoder,<a href="https://ffmpeg.org/doxygen/4.1/group__lavc__encoding.html#ga9f820c481615c3a02d0407bac0bdbf25">avcodec_find_encoder</a>
avcodec_alloc_context3,<a href="https://ffmpeg.org/doxygen/4.1/group__lavc__core.html#gae80afec6f26df6607eaacf39b561c315">avcodec_alloc_context3</a>
avcodec_parameters_alloc,<a href="https://ffmpeg.org/doxygen/4.1/group__lavc__core.html#ga647755ab2252e93221bb345f3d5e414f">avcodec_parameters_alloc</a>
av_dict_set,<a href="https://ffmpeg.org/doxygen/4.1/group__lavu__dict.html#ga8d9c2de72b310cef8e6a28c9cd3acbbe">av_dict_set</a>
av_free,<a href="https://ffmpeg.org/doxygen/4.1/tableprint__vlc_8h.html#a079eab092887563f2bef9106c6120089">av_free</a>
avio_closep,<a href="https://ffmpeg.org/doxygen/4.1/avio_8h.html#ae118a1f37f1e48617609ead9910aac15">avio_closep</a>
av_parse_ratio,<a href="https://ffmpeg.org/doxygen/4.1/parseutils_8c.html#a8535b8693aa5a188cfb1356133c0e94e">av_parse_ratio</a>
av_parse_video_rate,<a href="https://ffmpeg.org/doxygen/4.1/parseutils_8c.html#a63c6a2937ebf4b6722c255286755e557">av_parse_video_rate</a>
av_parse_ratio,<a href="https://ffmpeg.org/doxygen/4.1/parseutils_8c.html#a8535b8693aa5a188cfb1356133c0e94e">av_parse_ratio</a>
av_parse_video_size,<a href="https://ffmpeg.org/doxygen/4.1/parseutils_8c.html#a4dcdb8a2792f2074ca4a1e1f4ddce2bf">av_parse_video_size</a>
av_get_pix_fmt,<a href="https://ffmpeg.org/doxygen/4.1/pixdesc_8c.html#a925ef18d69c24c3be8c53d5a7dc0660e">av_get_pix_fmt</a>
av_fopen_utf8,<a href="https://ffmpeg.org/doxygen/4.1/group__lavu__misc.html#ga553b85a36da32c041738a89aa61f9fbd">av_fopen_utf8</a>
avio_open,<a href="https://ffmpeg.org/doxygen/4.1/avio_8h.html#a371a670112abc5f3e15bc570da076301">avio_open</a>
avio_open_dyn_buf,<a href="https://ffmpeg.org/doxygen/4.1/avio_8h.html#adb5259ad07633518173eaa47fe6575e2">avio_open_dyn_buf</a>
avio_read,<a href="https://ffmpeg.org/doxygen/4.1/avio_8h.html#abb4e58439be0bff0dc2e2974ee5fb6a3">avio_read</a>
avio_write,<a href="https://ffmpeg.org/doxygen/4.1/avio_8h.html#acc3626afc6aa3964b75d02811457164e">avio_write</a>
avio_w8,<a href="https://ffmpeg.org/doxygen/4.1/avio_8h.html#a1dddee2b73f4dd6512ac9821cf5adc18">avio_w8</a>
avio_closep,<a href="https://ffmpeg.org/doxygen/4.1/avio_8h.html#ae118a1f37f1e48617609ead9910aac15">avio_closep</a>
avio_close_dyn_buf,<a href="https://ffmpeg.org/doxygen/4.1/avio_8h.html#a8faed62ce72e7411cbea2356494af8ce">avio_close_dyn_buf</a>
av_strdup,<a href="https://ffmpeg.org/doxygen/4.1/group__lavu__mem__funcs.html#ga7c352f4cff02184f005323691375fea9">av_strdup</a>
av_get_sample_fmt,<a href="https://ffmpeg.org/doxygen/4.1/group__lavu__sampfmts.html#ga655c989b749667468e5e839e26fe63db">av_get_sample_fmt</a>
av_reallocp_array,<a href="https://ffmpeg.org/doxygen/4.1/group__lavu__mem__funcs.html#gad8fde0c159ac905909339e082a049cde">av_reallocp_array</a>
avfilter_inout_free,<a href="https://ffmpeg.org/doxygen/4.1/group__lavfi.html#ga294500a9856260eb1552354fd9d9a6c4">avfilter_inout_free</a>
av_guess_codec,<a href="https://ffmpeg.org/doxygen/4.1/group__lavf__encoding.html#gae8a1efab53a348857f209ea51037da4c">av_guess_codec</a>
avformat_query_codec,<a href="https://ffmpeg.org/doxygen/4.1/group__lavf__misc.html#gaa90b4c72d1bbb298e11096d3a09ec7db">avformat_query_codec</a>
av_guess_codec,<a href="https://ffmpeg.org/doxygen/4.1/group__lavf__encoding.html#gae8a1efab53a348857f209ea51037da4c">av_guess_codec</a>
avcodec_find_encoder,<a href="https://ffmpeg.org/doxygen/4.1/group__lavc__encoding.html#ga9f820c481615c3a02d0407bac0bdbf25">avcodec_find_encoder</a>
avcodec_descriptor_get,<a href="https://ffmpeg.org/doxygen/4.1/group__lavc__misc.html#gac09f8ddc2d4b36c5a85c6befba0d0888">avcodec_descriptor_get</a>
av_guess_codec,<a href="https://ffmpeg.org/doxygen/4.1/group__lavf__encoding.html#gae8a1efab53a348857f209ea51037da4c">av_guess_codec</a>
avio_open2,<a href="https://ffmpeg.org/doxygen/4.1/avio_8h.html#ade8a63980569494c99593ebf0d1e891b">avio_open2</a>
av_malloc,<a href="https://ffmpeg.org/doxygen/4.1/tableprint__vlc_8h.html#ae97db1f58b6b1515ed57a83bea3dd572">av_malloc</a>
avio_read,<a href="https://ffmpeg.org/doxygen/4.1/avio_8h.html#abb4e58439be0bff0dc2e2974ee5fb6a3">avio_read</a>
av_dict_set,<a href="https://ffmpeg.org/doxygen/4.1/group__lavu__dict.html#ga8d9c2de72b310cef8e6a28c9cd3acbbe">av_dict_set</a>
avio_closep,<a href="https://ffmpeg.org/doxygen/4.1/avio_8h.html#ae118a1f37f1e48617609ead9910aac15">avio_closep</a>
avio_open2,<a href="https://ffmpeg.org/doxygen/4.1/avio_8h.html#ade8a63980569494c99593ebf0d1e891b">avio_open2</a>
av_new_program,<a href="https://ffmpeg.org/doxygen/4.1/group__lavf__core.html#gab31f7c7c99dcadead38e8e83e0fdb828">av_new_program</a>
av_gettime_relative,<a href="https://ffmpeg.org/doxygen/4.1/time_8c.html#adf0e36df54426fa167e3cc5a3406f3b7">av_gettime_relative</a>
av_opt_set_int,<a href="https://ffmpeg.org/doxygen/4.1/group__opt__set__funcs.html#ga3adf7185c21cc080890a5ec02c2e56b2">av_opt_set_int</a>
av_dict_set,<a href="https://ffmpeg.org/doxygen/4.1/group__lavu__dict.html#ga8d9c2de72b310cef8e6a28c9cd3acbbe">av_dict_set</a>
av_hwdevice_get_type_name,<a href="https://ffmpeg.org/doxygen/4.1/hwcontext_8c.html#afb2b99a15f3fdde25a2fd19353ac5a67">av_hwdevice_get_type_name</a>
av_hwdevice_ctx_create,<a href="https://ffmpeg.org/doxygen/4.1/hwcontext_8c.html#a21fbd088225e4e25c4d9a01b3f5e8c51">av_hwdevice_ctx_create</a>
av_reallocp_array,<a href="https://ffmpeg.org/doxygen/4.1/group__lavu__mem__funcs.html#gad8fde0c159ac905909339e082a049cde">av_reallocp_array</a>
av_mallocz,<a href="https://ffmpeg.org/doxygen/4.1/group__lavu__mem__funcs.html#ga0a8cc057ae9723ce3b9203cb5365971a">av_mallocz</a>
av_freep,<a href="https://ffmpeg.org/doxygen/4.1/tableprint__vlc_8h.html#adba82e1bcd02de510a858fcbedf79ef1">av_freep</a>
av_buffer_unref,<a href="https://ffmpeg.org/doxygen/4.1/group__lavu__buffer.html#ga135e9e929b5033bb8f68322497b2effc">av_buffer_unref</a>
avcodec_get_hw_config,<a href="https://ffmpeg.org/doxygen/4.1/group__lavc__core.html#ga4f80582a2ea9c0e141de5d6f6152008f">avcodec_get_hw_config</a>
avcodec_open2,<a href="https://ffmpeg.org/doxygen/4.1/group__lavc__core.html#ga11f785a188d7d9df71621001465b0f1d">avcodec_open2</a>
avcodec_close,<a href="https://ffmpeg.org/doxygen/4.1/group__lavc__core.html#gaf4daa92361efb3523ef5afeb0b54077f">avcodec_close</a>
av_buffersink_get_format,<a href="https://ffmpeg.org/doxygen/4.1/group__lavfi__buffersink__accessors.html#ga402ddbef6f7347869725696846ac81eb">av_buffersink_get_format</a>
av_get_bytes_per_sample,<a href="https://ffmpeg.org/doxygen/4.1/group__lavu__sampfmts.html#ga0c3c218e1dd570ad4917c69a35a6c77d">av_get_bytes_per_sample</a>
av_buffersink_get_sample_rate,<a href="https://ffmpeg.org/doxygen/4.1/group__lavfi__buffersink__accessors.html#ga2af714e82f48759551acdbc4488ded4a">av_buffersink_get_sample_rate</a>
av_buffersink_get_channel_layout,<a href="https://ffmpeg.org/doxygen/4.1/group__lavfi__buffersink__accessors.html#ga87e21bf198fd932c30cc3cdc6b16bff1">av_buffersink_get_channel_layout</a>
av_buffersink_get_channels,<a href="https://ffmpeg.org/doxygen/4.1/group__lavfi__buffersink__accessors.html#gace78881c41bf449527826b95d21279a2">av_buffersink_get_channels</a>
av_buffersink_get_time_base,<a href="https://ffmpeg.org/doxygen/4.1/group__lavfi__buffersink__accessors.html#gabc82f65ec7f4fa47c5216260639258a1">av_buffersink_get_time_base</a>
